country,mig_ext_medio_group/1,mig_ext_medio_group/2,mig_ext_medio_group/3,mig_ext_cost_total,mig_ext_cost_currency
GT,0,1,0,,
HND,0,0,1,800,1
HND,0,0,1,,
GT,0,1,0,10400,3
SLV,0,1,0,11000,1
GT,0,1,0,10400,3
SLV,0,1,0,12000,1
SLV,0,0,1,,
SLV,0,0,1,300,1
GT,0,1,0,11700,3
GT,0,1,0,11700,3
GT,0,1,0,7800,3
HND,1,0,0,1066,2
HND,1,0,0,1312,2
HND,1,0,0,1312,2
HND,0,0,1,,
GT,0,1,0,3900,3
GT,0,1,0,3900,3
GT,0,1,0,3000,1
GT,0,1,0,,
GT,0,1,0,4550,3
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,1,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,0,1,0,6150,2
HND,0,1,0,6150,2
HND,1,1,0,,
HND,0,0,1,410,2
GT,0,1,0,455,3
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,10000,1
GT,0,1,0,11700,3
GT,0,1,0,11.7,3
GT,0,1,0,,
GT,0,1,0,10.4,3
GT,0,1,0,7540,3
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,410,2
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,1,0,3500,1
HND,0,1,0,3500,1
HND,0,1,0,,
HND,0,1,0,,
HND,0,0,0,,
HND,0,1,0,,
HND,0,1,0,7000,1
HND,0,1,0,,
HND,0,1,0,,
HND,0,0,1,13,1
HND,0,0,1,,
GT,0,1,0,9100,3
GT,0,1,0,12.35,3
GT,0,1,0,14300,3
GT,0,1,0,3900,3
GT,0,1,0,,
GT,0,1,0,7800,3
HND,0,0,1,,
GT,0,1,0,,
GT,0,1,0,650,3
GT,0,0,1,2860,3
GT,0,0,0,780,3
GT,0,0,0,,
GT,0,0,1,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,11700,3
GT,0,1,0,4550,3
GT,0,1,0,7800,3
GT,0,0,1,1040,3
GT,1,0,0,1750,1
GT,0,1,1,9100,3
GT,0,1,0,10400,3
GT,1,0,0,3640,3
GT,0,0,1,3900,3
GT,0,0,0,3900,3
